R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank,finish,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
-115.0,-105,86.95652173913044,95.23809523809524,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.17463235294117646,0.8954248366013072,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,0.20016339869281047,190.5,195.58,155,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,0.20241013071895425,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.079999999999984,15.240000000000007,-2,-4.329999999999999,1.9,0.98,1,1,0.7193627450980392,0.1744281045751634,1.0,0.0010212418300653595,241.0,400.0,400.0,1200.0,700.0,165.0,300.0
125.0,-145,125.0,68.96551724137932,0.0026552287581699347,0.2555147058823529,0.12234477124183006,1,False,0.12111928104575163,0.8954248366013072,3,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,0.20016339869281047,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,0.7581699346405228,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.159999999999997,-4,-1.0000000000000002,-0.9,2.14,1,1,0.7193627450980392,0.4117647058823529,3.0,0.5643382352941176,900.0,350.0,300.0,500.0,250.0,400.0,500.0
-525.0,385,19.047619047619047,385.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.16952614379084968,0.8954248366013072,3,0,0,0,4.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7520424836601307,180.34,190.5,170,1,0,0,6.16,0.48,0.5,0.98,1.0,2,1,7,0,0,0,1,1,0,0,2,0.03860294117647059,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.0800000000000125,0.0,2,-2.16,-0.5,-0.98,1,1,0.7193627450980392,0.3053513071895425,1.0,0.0006127450980392157,15.0,300.0,349.0,500.0,975.0,-135.0,548.5
140.0,-160,140.0,62.5,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.1156045751633987,0.8954248366013072,3,0,1,0,3.4,0.38,0.0,0.6,1.0,3,1,14,0,0,0,3,1,0,0,4,0.7520424836601307,180.34,185.42,145,0,1,0,6.79,0.53,1.0,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,0.03860294117647059,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.539999999999992,5.0800000000000125,6,-3.39,-1.0,-6.57,1,1,0.7193627450980392,0.1744281045751634,2.0,0.0012254901960784314,511.0,330.0,165.0,1100.0,1100.0,400.0,330.0
-150.0,130,66.66666666666666,130.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.08047385620915033,0.8954248366013072,5,0,1,0,3.43,0.44,1.6,1.58,0.38,5,2,13,0,0,1,1,2,2,0,6,0.7520424836601307,195.58,200.66,205,0,2,0,3.03,0.47,0.8,0.46,0.28,3,8,47,1,0,0,1,7,4,0,12,0.7581699346405228,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.5400000000000205,7.620000000000003,-3,0.4000000000000003,0.8,1.12,1,1,0.26552287581699346,0.1744281045751634,1.0,0.0014297385620915032,227.0,450.0,750.0,330.0,500.0,225.0,330.0
-170.0,150,58.82352941176471,150.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.08047385620915033,0.8954248366013072,3,1,0,0,3.13,0.56,0.1,2.51,0.34,2,5,25,0,0,0,6,0,0,0,6,0.7520424836601307,182.88,190.5,205,2,0,1,4.91,0.42,0.0,4.39,0.6,2,5,19,0,0,0,1,3,0,0,4,0.20241013071895425,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.5400000000000205,0.0,4,-1.7800000000000002,0.1,-1.88,1,1,0.7193627450980392,0.4117647058823529,3.0,0.5643382352941176,900.0,600.0,250.0,1800.0,1400.0,-110.0,650.0
-125.0,105,80.0,105.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.027777777777777776,0.10457516339869281,3,0,0,0,2.4,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.7520424836601307,170.18,180.34,125,2,0,0,3.33,0.36,0.4,0.19,0.2,2,4,14,0,0,0,1,0,1,0,2,0.7581699346405228,167.64,170.18,125,27,32,-2,0,-2,-2,-4,-14,0,0,-1,2.539999999999992,10.159999999999997,5,-0.9300000000000002,-0.4,-0.19,1,1,0.7193627450980392,0.4117647058823529,3.0,0.5643382352941176,900.0,215.0,180.0,500.0,1100.0,400.0,800.0
-850.0,575,11.76470588235294,575.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.17463235294117646,0.8954248366013072,3,0,2,0,2.88,0.41,0.5,3.31,0.41,2,4,21,0,0,0,3,0,2,0,5,0.7520424836601307,177.8,180.34,155,0,3,0,3.59,0.46,0.0,3.38,0.34,3,1,12,0,0,0,3,0,0,0,3,0.7581699346405228,170.18,182.88,155,24,31,0,-1,-1,2,3,9,0,0,2,7.620000000000003,-2.539999999999992,7,-0.71,0.5,-0.0699999999999998,1,1,0.26552287581699346,0.3053513071895425,1.0,0.0008169934640522876,129.0,-135.0,900.0,350.0,2800.0,330.0,2200.0
170.0,-200,170.0,50.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.10069444444444445,0.8954248366013072,3,0,2,0,4.14,0.54,0.6,5.57,0.48,2,1,11,0,0,1,0,2,0,0,3,0.7520424836601307,165.1,175.26,135,0,2,0,2.87,0.46,0.5,1.52,0.75,2,0,5,0,0,0,1,0,1,0,2,0.7581699346405228,177.8,182.88,135,30,29,0,0,0,1,1,6,0,2,-1,-12.700000000000015,-7.620000000000003,-1,1.2699999999999996,0.0999999999999999,4.050000000000001,1,1,0.7193627450980392,0.3053513071895425,2.0,0.002042483660130719,430.0,330.0,140.0,800.0,700.0,1000.0,330.0
-180.0,155,55.55555555555556,155.0,0.0026552287581699347,0.2555147058823529,0.12234477124183006,0,False,0.12111928104575163,0.8954248366013072,3,2,0,0,2.82,0.66,0.2,1.14,0.41,2,2,11,0,0,0,1,0,1,0,2,0.7520424836601307,190.5,185.42,185,1,0,0,4.16,0.37,0.0,0.8,0.16,2,2,8,0,0,0,0,2,0,0,2,0.20241013071895425,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.699999999999989,-7.619999999999976,5,-1.3400000000000003,0.2,0.3399999999999998,1,1,0.7193627450980392,0.3053513071895425,3.0,0.002042483660130719,746.0,380.0,600.0,1800.0,500.0,110.0,450.0
